draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_20_rep_tru,pre_20_dem_bid,adv_20,arv_20,county_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
34,1,892765, 1,0.9042,711389,0.004563710,0.948,0.32042,801808,35367,11297,1625, 6427,152,2166,33923,645778,28003, 7774,1429,5251,118,1323,21713,270164,113340,113340,270164,0,113340,270164,0.2955,0.2955,0,0,0,0.104
34,2,900951, 1,0.9042,721543,0.004563710,0.948,0.14599,797026,29382,23530,1562, 8476,277,2486,38212,647262,23999,15709,1332,6982,215,1658,24386,275218,122644,122644,275218,0,122644,275218,0.3083,0.3083,0,0,0,0.104
35,1,899979, 1,0.8810,717555,0.003479927,0.944,0.28692,807604,36349,11564,1635, 6424,152,2183,34068,650637,28986, 7983,1439,5247,119,1338,21806,273514,113629,113629,273514,0,113629,273514,0.2935,0.2935,0,0,0,0.104
35,2,893737, 1,0.8810,715377,0.003479927,0.944,0.14280,791230,28400,23263,1552, 8479,277,2469,38067,642403,23016,15500,1322,6986,214,1643,24293,271868,122355,122355,271868,0,122355,271868,0.3104,0.3104,0,0,0,0.104
36,1,894814, 1,0.6134,710925,0.002279068,0.900,0.10677,795731,34427,20065,1622, 5945,161,2230,34633,640619,27534,13127,1389,4926,133,1430,21767,279069,104637,104637,279069,0,104637,279069,0.2727,0.2727,0,0,0,0.104
36,2,898902, 1,0.6134,722007,0.002279068,0.900,0.17020,803103,30322,14762,1565, 8958,268,2422,37502,652421,24468,10356,1372,7307,200,1551,24332,266313,131347,131347,266313,0,131347,266313,0.3303,0.3303,0,0,0,0.104
37,1,898912, 1,0.9076,716275,0.002290218,0.948,0.25930,807571,35467,11343,1639, 6426,150,2194,34122,650394,28077, 7820,1434,5246,118,1336,21850,272868,114117,114117,272868,0,114117,272868,0.2949,0.2949,0,0,0,0.104
37,2,894804, 1,0.9076,716657,0.002290218,0.948,0.15729,791263,29282,23484,1548, 8477,279,2458,38013,642646,23925,15663,1327,6987,215,1645,24249,272514,121867,121867,272514,0,121867,272514,0.3090,0.3090,0,0,0,0.104
38,1,893320, 1,0.9795,712795,0.003944883,0.936,0.26018,803620,35394,11173,1621, 6148,158,2143,33063,647882,28093, 7693,1415,5038,123,1295,21256,272147,112498,112498,272147,0,112498,272147,0.2925,0.2925,0,0,0,0.104
38,2,900396, 1,0.9795,720137,0.003944883,0.936,0.12260,795214,29355,23654,1566, 8755,271,2509,39072,645158,23909,15790,1346,7195,210,1686,24843,273235,123486,123486,273235,0,123486,273235,0.3113,0.3113,0,0,0,0.104
