draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
20,1,546276, 1,0.7379,434094,0.0043986626,0.9827,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
20,2,551103, 1,0.7379,453500,0.0043986626,0.9827,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
21,1,548185, 1,0.7198,435925,0.0009194636,0.9784,0.4051,138138,305253,41753,1566,22149,166,8588,30572, 95664,262127,31056,1185,18659,126,6394,20714,117332, 69087,102299,52217, 88454,50836,116438,107764,42969,134554, 78507,142000, 62065, 69087,117332,48675,103738, 70288,138277,1,3,115549, 59280,0.6609,0.6615,1.0000,2.000,0,-0.25606
21,2,549194, 1,0.7198,451669,0.0009194636,0.9784,0.3540, 43963,448797,13633,1947,16218,154,2804,21678, 30324,380308,10868,1514,12753,129,2059,13714,135194,111455,129179,92203,109668,89097,157913,139512,76323,172932,121415,186574,102790,111455,135194,85874,134068,112102,179752,1,3,147282, 98881,0.5983,0.5937,1.0000,2.000,0,-0.25606
22,1,549695, 1,0.7348,436839,0.0018325483,0.9818,0.4387,148340,291360,44531,1690,23887,168,8808,30911,103184,251363,33290,1297,20044,130,6552,20979,120552, 63564,104367,47833, 90687,46967,116838,109194,39280,136775, 72239,143602, 56364, 63564,120552,44694,105271, 64303,140189,1,2,117431, 54374,0.6835,0.6845,1.0000,2.000,0,-0.25606
22,2,547684, 1,0.7348,450755,0.0018325483,0.9818,0.3205, 33761,462690,10855,1823,14480,152,2584,21339, 22804,391072, 8634,1402,11368,125,1901,13449,131974,116977,127110,96588,107435,92966,157513,138082,80013,170710,127683,184972,108491,116977,131974,89855,132535,118087,177840,1,2,145400,103787,0.5835,0.5783,1.0000,2.000,0,-0.25606
23,1,546276, 1,0.7379,434094,0.0043986626,0.9827,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
23,2,551103, 1,0.7379,453500,0.0043986626,0.9827,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
24,1,548949, 1,0.6774,435754,0.0004729451,0.9662,0.2852,139398,306730,41197,1561,22049,159,8221,29634, 96627,262479,30639,1176,18559,121,6083,20070,116204, 71841,101332,54768, 87189,53716,116247,106907,45369,132852, 81909,140740, 65213, 71841,116204,51285,102918, 73562,136796,2,4,114496, 62136,0.6482,0.6483,1.0000,2.000,0,-0.25606
24,2,548430, 1,0.6774,451840,0.0004729451,0.9662,0.2381, 42703,447320,14189,1952,16318,161,3171,22616, 29361,379956,11285,1523,12853,134,2370,14358,136322,108701,130145,89652,110933,86217,158103,140369,73924,174634,118013,187834, 99641,108701,136322,83263,134888,108827,181233,2,4,148334, 96025,0.6070,0.6027,1.0000,2.000,0,-0.25606
