draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3969,2,921762, 2,0.7428,687112,0.002402254,0.9906,0.2027, 95975,745575,10010, 9278,17619,1960,3912,37433, 61704,570184,6670, 6825,14075,1436,2820,23398,191435,106498,217482,106001,176329,132901,189952,116170,180380,128150,266233,167209,260923,165582,204458,106250,182222,125741,263578,166397,1,1,131787,211819,0.3835,0.3834,0,0,0,0.1884
3970,1,916700, 2,0.7425,687846,0.003102594,0.9902,0.1574,143372,704129, 4902, 9561, 8603,1478,4319,40336, 89928,549866,3357, 7052, 7082,1033,3100,26428,216139, 83866,230508, 82631,184125, 98966,193875, 87646,189181, 94532,286061,121129,276022,121358,223324, 83249,189061, 93714,281041,121243,1,1, 98590,225129,0.3046,0.3058,0,0,0,0.1884
3970,2,922406, 2,0.7425,688554,0.003102594,0.9902,0.1849, 96035,746394, 9883, 9342,17433,1923,3924,37472, 61772,571600,6589, 6883,13926,1409,2827,23548,192915,105899,218508,105617,177535,132116,190915,115637,181473,127504,268057,165891,262423,164505,205712,105759,183309,125086,265241,165200,1,1,131024,213118,0.3807,0.3806,0,0,0,0.1884
3971,1,919350, 2,0.7163,712356,0.000220759,0.9946,0.2319, 68265,764218, 8963, 9113,17139,1614,4807,45231, 44924,606924,5770, 6801,13673,1198,3568,29498,209242,121377,227696,117815,192224,146555,204508,129282,195967,140797,285619,184575,281116,181546,218469,119597,197567,138878,283368,183061,1,0,145993,228052,0.3903,0.3902,0,0,0,0.1884
3971,2,919756, 2,0.7163,664044,0.000220759,0.9946,0.3086,171142,686305, 5822, 9790, 8897,1787,3436,32577,106776,514542,4176, 7134, 7335,1244,2359,20478,199812, 68389,221320, 70433,169436, 84527,180282, 74001,174687, 81239,268499,102445,257328,104317,210566, 69411,174803, 79923,262914,103381,1,0, 83621,210195,0.2846,0.2860,0,0,0,0.1884
3972,1,919970, 2,0.9541,691468,0.000453481,0.9916,0.1976,108364,736731, 4788, 9266,11038,1534,4614,43635, 67628,572181,3285, 6837, 9053,1091,3308,28085,221796, 88285,236296, 86359,197390,107353,207375, 93966,201768,102225,303897,135167,296249,133972,229046, 87323,202179,101181,300073,134570,1,1,106761,237823,0.3098,0.3103,0,0,0,0.1884
3972,2,919136, 2,0.9541,684932,0.000453481,0.9916,0.3943,131043,713792, 9997, 9637,14998,1867,3629,34173, 84072,549285,6661, 7098,11955,1351,2619,21891,187258,101481,212720,101890,164270,123729,177415,109317,168885,119811,250221,151852,242195,151891,199989,101685,170191,117620,246209,151873,1,1,122853,200424,0.3800,0.3806,0,0,0,0.1884
3973,1,918815, 2,0.7160,711452,0.000802564,0.9940,0.2229, 67253,764644, 9063, 9086,17151,1616,4789,45213, 44265,606682,5842, 6785,13694,1198,3566,29420,208282,121500,226761,117893,191245,146897,203595,129496,194979,141099,284689,185051,280191,182089,217522,119697,196608,139164,282440,183570,1,1,146290,227105,0.3918,0.3916,0,0,0,0.1884
3973,2,920291, 2,0.7160,664948,0.000802564,0.9940,0.2850,172154,685879, 5722, 9817, 8885,1785,3454,32595,107435,514784,4104, 7150, 7314,1244,2361,20556,200772, 68266,222255, 70355,170415, 84185,181194, 73787,175675, 80937,269429,101969,258254,103774,211513, 69310,175762, 79636,263842,102872,1,1, 83325,211142,0.2830,0.2844,0,0,0,0.1884
3974,1,917596, 2,0.9198,693800,0.002128208,0.9856,0.1779,108796,731481, 6137, 9384,11824,1696,4657,43621, 68217,572134,4001, 6947, 9653,1231,3371,28246,220820, 91082,235398, 89388,195488,110581,205731, 96955,200051,105309,298136,138032,290269,136939,228110, 90236,200425,104281,294202,137486,1,3,109755,235127,0.3182,0.3187,0,0,0,0.1884
