draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_ayo,uss_16_dem_has,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_sha,uss_20_rep_mes,gov_20_dem_fel,gov_20_rep_sun,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
17,2,690171, 1,0.7120,556320,0.0020420623,0.9772,0.4381,39924,582607,13407,1209,20872,222,3420,28510,26537,481434,9671, 982,16114,175,2523,18884,163453,170628,169275,172091,167270,166562,142971,127335,207027,171666,219422,152477,128805,244361,166666,169761,142971,127335,189501,185084,1,0,170267,173067,0.4959,0.4952,0.5714,0.8571,0, 0.05137
18,1,688173, 1,0.7000,560973,0.0008587841,0.9727,0.3391,19701,617650, 6443,1068,14476,192,2508,26135,13215,510795,4936, 918,11496,144,1919,17550,185121,174695,186736,179886,188910,169471,163224,130849,215220,196532,229833,175418,132842,275904,186922,174683,163224,130849,215951,192632,1,0,176114,195978,0.4733,0.4727,0.2857,1.0000,0,-0.01760
18,2,689356, 1,0.7000,559707,0.0008587841,0.9727,0.1654,39753,582999,12212,1231,21128,196,3408,28429,26585,484956,8922,1012,16493,159,2524,19056,160669,173832,166896,174763,165131,168118,139539,131510,209718,169128,220944,150812,131797,240705,164231,172238,139539,131510,186881,187486,1,0,172955,170412,0.5037,0.5032,0.7143,1.0000,0,-0.01760
19,1,689772, 1,0.6321,554573,0.0014627641,0.9829,0.3557,42572,582329,11930, 900,22395,177,3387,26082,28076,480228,8603, 718,17366,139,2528,16915,177098,167918,183098,167887,185092,157356,155548,121863,207909,186064,220122,167419,123125,265465,181763,164387,155548,121863,206315,183719,1,0,166597,188541,0.4691,0.4681,0.2857,1.0000,0,-0.02707
19,2,687757, 1,0.6321,566107,0.0014627641,0.9829,0.2656,16882,618320, 6725,1399,13209,211,2529,28482,11724,515523,5255,1212,10623,164,1915,19691,168692,180608,170534,186762,168948,180232,147216,140496,217029,179597,230655,158811,141514,251144,169391,182534,147216,140496,196517,196400,1,0,182471,177849,0.5064,0.5063,0.7143,1.0000,0,-0.02707
20,1,687126, 1,0.7122,564199,0.0023788973,0.9790,0.2085,19569,617673, 5269,1093,14809,166,2499,26048,13284,514063,4202, 954,11934,128,1917,17717,181646,178714,183944,183178,186486,171530,159517,135789,218986,193256,232278,173171,136627,271725,184025,177807,159517,135789,212717,195965,1,0,179586,192821,0.4822,0.4818,0.2857,0.8571,0, 0.05144
20,2,690403, 1,0.7122,556481,0.0023788973,0.9790,0.5150,39885,582976,13386,1206,20795,222,3417,28516,26516,481688,9656, 976,16055,175,2526,18889,164144,169813,169689,171471,167554,166058,143246,126570,205951,172404,218500,153059,128012,244884,167129,169114,143246,126570,190115,184154,1,0,169482,173568,0.4940,0.4934,0.5714,0.8571,0, 0.05144
21,1,690432, 1,0.5358,569981,0.0024210017,0.9767,0.2362,16965,620753, 6575,1323,14401,191,2467,27757,11743,519057,5161,1150,11563,146,1891,19270,172729,184414,176173,189433,175709,181703,154365,141776,223565,183814,237683,163358,142628,261158,174870,185183,154365,141776,202777,201293,1,0,185886,183901,0.5027,0.5023,0.7143,1.0000,0,-0.03207
21,2,687097, 1,0.5358,550699,0.0024210017,0.9767,0.3454,42489,579896,12080, 976,21203,197,3449,26807,28057,476694,8697, 780,16426,157,2552,17336,173061,164112,177460,165216,178331,155886,148398,120583,201372,181846,213094,162872,122011,255451,176284,161738,148398,120583,200056,178826,1,0,163182,182488,0.4721,0.4713,0.2857,1.0000,0,-0.03207
22,1,687927, 1,0.7116,564866,0.0012159454,0.9778,0.2011,19578,618415, 5269,1096,14814,166,2506,26083,13291,514675,4202, 957,11939,128,1924,17750,181917,178840,184205,183316,186728,171681,159737,135898,219159,193575,232465,173459,136723,272126,184283,177945,159737,135898,213053,196117,1,0,179726,193108,0.4821,0.4816,0.2857,0.8571,0, 0.05160
22,2,689602, 1,0.7116,555814,0.0012159454,0.9778,0.4631,39876,582234,13386,1203,20790,222,3410,28481,26509,481076,9656, 973,16050,175,2519,18856,163873,169686,169427,171333,167312,165908,143026,126461,205779,172085,218312,152771,127915,244484,166870,168976,143026,126461,189779,184002,1,0,169342,173282,0.4943,0.4936,0.5714,0.8571,0, 0.05160
23,1,685338, 1,0.7135,562673,0.0049748499,0.9790,0.2154,19552,616005, 5272,1097,14728,165,2477,26042,13279,512624,4201, 958,11874,127,1903,17707,181633,177197,183659,181833,186130,170245,159213,134415,217006,193238,230378,173110,135117,271308,183807,176424,159213,134415,212552,194168,1,0,178027,192614,0.4803,0.4799,0.2857,0.8571,0, 0.05080
23,2,692191, 1,0.7135,558007,0.0049748499,0.9790,0.5154,39902,584644,13383,1202,20876,223,3439,28522,26521,483127,9657, 972,16115,176,2540,18899,164157,171330,169974,172817,167911,167344,143550,127944,207931,172422,220399,153120,129522,245301,167347,170497,143550,127944,190281,185950,1,0,171041,173776,0.4960,0.4954,0.5714,0.8571,0, 0.05080
24,1,688385, 1,0.7113,565231,0.0005509866,0.9784,0.2102,19595,618820, 5274,1095,14815,166,2511,26109,13303,515009,4206, 956,11940,128,1929,17760,182084,179082,184393,183552,186924,171892,159926,136070,219452,193707,232765,173588,136944,272319,184466,178175,159926,136070,213205,196388,1,0,179965,193278,0.4822,0.4817,0.2857,0.8571,0, 0.05177
24,2,689144, 1,0.7113,555449,0.0005509866,0.9784,0.5090,39859,581829,13381,1204,20789,222,3405,28455,26497,480742,9652, 974,16049,175,2514,18846,163707,169444,169239,171097,167116,165697,142837,126289,205486,171953,218012,152642,127695,244291,166687,168746,142837,126289,189628,183731,1,0,169103,173112,0.4941,0.4935,0.5714,0.8571,0, 0.05177
25,1,685970, 1,0.7130,563235,0.0040572649,0.9772,0.2086,19546,616629, 5279,1090,14746,165,2485,26030,13279,513187,4202, 952,11897,127,1910,17681,181689,177365,183668,182060,186182,170444,159286,134489,217231,193218,230617,173038,135208,271363,183846,176623,159286,134489,212540,194353,1,0,178202,192636,0.4805,0.4801,0.2857,0.8571,0, 0.05089
25,2,691559, 1,0.7130,557445,0.0040572649,0.9772,0.4817,39908,584020,13376,1209,20858,223,3431,28534,26521,482564,9656, 978,16092,176,2533,18925,164101,171161,169964,172590,167859,167145,143477,127870,207706,172443,220160,153192,129431,245246,167307,170299,143477,127870,190293,185765,1,0,170867,173754,0.4958,0.4952,0.5714,0.8571,0, 0.05089
