draw,district,total_pop,chain,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3964,1,728626, 2,568480,0.0013612585,0.9712,0.31022,70219,110455,15900, 797,309205,75754,2011,144285,46434, 93620,12762, 698,262788,53298,1575, 97305,110317,62546,130483,43929,113458,55075,100302,64265,152616, 99827,53232,120399,59662,106878, 99827,152616,1,1,121435,65127,0.6509,0.6547,1,2,0,-0.1179
3964,2,726645, 2,587425,0.0013612585,0.9712,0.06981,68704,203910, 5977,1524,222353,73300,3272,147605,46673,182004, 5297,1302,195480,51920,2649,102100,156579,66300,176126,48719,162858,56956,144632,67462,213512, 97037,57501,166349,62202,153744, 97037,213512,1,1,170742,67297,0.7173,0.7192,1,2,0,-0.1179
3965,1,731231, 2,569901,0.0049413477,0.9748,0.29655,74128,110802,16372, 841,301631,77824,2074,147559,49216, 93384,13149, 733,256792,55031,1601, 99995,111030,61899,131751,42899,113952,54074,100539,63631,151028, 97892,52394,121389,58843,107245, 97892,151028,1,1,121660,64078,0.6550,0.6587,1,2,0,-0.1179
3965,2,724040, 2,586004,0.0049413477,0.9748,0.06942,64795,203563, 5505,1480,229927,71230,3209,144331,43891,182240, 4910,1267,201476,50187,2623, 99410,155866,66947,174858,49748,162364,57957,144394,68096,215100, 98972,58339,165359,63022,153377, 98972,215100,1,1,170518,68346,0.7139,0.7159,1,2,0,-0.1179
3966,1,725352, 2,569336,0.0031382471,0.9792,0.36538,73889,132359,14106, 808,276032,69825,2361,155972,49202,113413,11529, 698,237026,50232,1862,105374,125987,69016,148040,49598,129153,61707,114903,71335,172786,103810,59303,137012,66514,122026,103810,172786,1,1,138174,71092,0.6603,0.6627,1,2,0,-0.1179
3966,2,729919, 2,586569,0.0031382471,0.9792,0.07143,65034,182006, 7771,1513,255526,79229,2922,135918,43905,162211, 6530,1302,221242,54986,2362, 94031,140909,59831,158568,43049,147163,50324,130030,60392,193342, 93054,51430,149735,55350,138596, 93054,193342,1,1,154003,61332,0.7152,0.7183,1,2,0,-0.1179
3967,1,729108, 2,578759,0.0020236781,0.9649,0.23569,74802,134900,15270, 900,279742,70175,2444,150875,50606,117232,12703, 785,241675,50720,1927,103111,116705,64090,136570,45866,119239,56941,105259,66253,162197, 99726,54975,126637,61588,112248, 99726,162197,1,1,127993,66575,0.6578,0.6608,1,2,0,-0.1179
3967,2,726163, 2,577146,0.0020236781,0.9649,0.06719,64121,179465, 6607,1421,251816,78879,2839,141015,42501,158392, 5356,1215,216593,54498,2297, 96294,150191,64757,170038,46781,157077,55090,139674,65474,203931, 97138,55758,160110,60276,148374, 97138,203931,1,1,164184,65849,0.7137,0.7163,1,2,0,-0.1179
3968,1,725984, 2,563955,0.0022696804,0.9788,0.36630,74777,123051,16418, 844,283930,76261,2212,148491,49491,103438,13184, 736,241608,53512,1738,100248,107951,61988,128353,43325,111398,54732, 98159,64029,149052, 98293,52652,118151,59372,104777, 98293,149052,1,1,118982,64473,0.6486,0.6522,1,2,0,-0.1179
3968,2,729287, 2,591950,0.0022696804,0.9788,0.07151,64146,191314, 5459,1477,247628,72793,3071,143399,43616,172186, 4875,1264,216660,51706,2486, 99157,158945,66858,178256,49322,164918,57299,146775,67698,217076, 98571,58081,168597,62492,155845, 98571,217076,1,1,173195,67952,0.7182,0.7203,1,2,0,-0.1179
3969,1,725450, 2,570134,0.0030035643,0.9784,0.38171,74344,136377,14608, 834,273323,69030,2421,154513,49667,117296,11941, 728,234505,49598,1896,104503,119622,67639,141042,48530,121947,60144,108252,69451,163941,102240,58079,130331,64791,115098,102240,163941,1,1,130961,69600,0.6530,0.6555,1,2,0,-0.1179
3969,2,729821, 2,585771,0.0030035643,0.9784,0.07185,64579,177988, 7269,1487,258235,80024,2862,137377,43440,158328, 6118,1272,223763,55620,2328, 94902,147274,61208,165567,44117,154369,51887,136681,62276,202187, 94624,52654,156416,57074,145524, 94624,202187,1,1,161216,62825,0.7196,0.7225,1,2,0,-0.1179
3970,1,724246, 2,561803,0.0046582389,0.9824,0.32544,71382,109324,15496, 779,299600,76924,1982,148759,46821, 92258,12347, 675,254111,54116,1534, 99941,111797,63776,132983,44514,114529,55841,101212,65332,151882,100087,54140,122388,60579,107868,100087,151882,1,1,122480,65909,0.6501,0.6537,1,2,0,-0.1179
3970,2,731025, 2,594102,0.0046582389,0.9824,0.07014,67541,205041, 6381,1542,231958,72130,3301,143131,46286,183366, 5712,1325,204157,51102,2690, 99464,155099,65070,173626,48133,161787,56190,143722,66395,214246, 96777,56593,164360,61286,152754, 96777,214246,1,1,169697,66516,0.7184,0.7205,1,2,0,-0.1179
3971,1,727955, 2,564396,0.0004390935,0.9812,0.36925,74671,120843,16185, 818,287477,76671,2195,149095,49315,101341,12958, 715,243837,53946,1725,100559,108898,62316,129770,43370,112146,54860, 98750,64382,148921, 98723,52839,119333,59612,105446, 98723,148921,1,1,119697,64729,0.6490,0.6527,1,2,0,-0.1179
3971,2,727316, 2,591509,0.0004390935,0.9812,0.07156,64252,193522, 5692,1503,244081,72383,3088,142795,43792,174283, 5101,1285,214431,51272,2499, 98846,157998,66531,176839,49277,164170,57172,146183,67345,217208, 98141,57894,167415,62252,155175, 98141,217208,1,1,172480,67695,0.7181,0.7202,1,2,0,-0.1179
3972,1,724919, 2,571685,0.0037333253,0.9732,0.35875,72773,134333,13687, 820,277648,68723,2431,154504,48763,116658,11261, 711,238582,49357,1924,104429,123685,68751,145267,49558,126772,61464,112654,70932,171492,103938,59150,134475,66192,119712,103938,171492,1,1,135974,70929,0.6572,0.6596,1,2,0,-0.1179
3972,2,730352, 2,584220,0.0037333253,0.9732,0.07140,66150,180032, 8190,1501,253910,80331,2852,137386,44344,158966, 6798,1289,219686,55861,2300, 94976,143211,60096,161341,43089,149544,50568,132279,60794,194636, 92926,51582,152272,55673,140910, 92926,194636,1,1,156203,61495,0.7175,0.7206,1,2,0,-0.1179
3973,1,729745, 2,572901,0.0028991164,0.9800,0.36197,74047,133583,14090, 798,278165,69524,2407,157131,49296,114478,11515, 689,238954,50027,1909,106033,126489,69224,148623,49786,129552,61849,115344,71432,173164,103714,59501,137555,66634,122447,103714,173164,1,1,138634,71201,0.6607,0.6630,1,2,0,-0.1179
3973,2,725526, 2,583004,0.0028991164,0.9800,0.07132,64876,180782, 7787,1523,253393,79530,2876,134759,43811,161146, 6544,1311,219314,55191,2315, 93372,140407,59623,157986,42862,146764,50183,129589,60294,192965, 93150,51232,149193,55231,138175, 93150,192965,1,1,153543,61224,0.7149,0.7181,1,2,0,-0.1179
3974,1,726503, 2,570292,0.0015564111,0.9792,0.36890,73578,135042,14008, 797,275782,68477,2437,156382,48960,115843,11416, 686,236696,49315,1908,105468,126812,69447,148974,49951,129645,61968,115482,71530,173261,103792,59695,137891,66743,122562,103792,173261,1,1,138835,71337,0.6606,0.6629,1,2,0,-0.1179
3974,2,728768, 2,585613,0.0015564111,0.9792,0.07145,65345,179323, 7869,1524,255776,80577,2846,135508,44147,159781, 6643,1314,221572,55903,2316, 93937,140084,59399,157635,42696,146671,50063,129451,60197,192867, 93072,51038,148856,55122,138060, 93072,192867,1,1,153342,61087,0.7151,0.7183,1,2,0,-0.1179
3975,1,730749, 2,567834,0.0042789281,0.9752,0.27893,73298,109670,16189, 812,305080,77515,2065,146120,48462, 92129,12941, 704,259341,54195,1617, 98445,112273,62091,133075,42912,114904,54081,101635,63492,151920, 98101,52497,122673,58777,108268, 98101,151920,1,1,122761,64134,0.6568,0.6606,1,2,0,-0.1179
3975,2,724522, 2,588071,0.0042789281,0.9752,0.06870,65625,204695, 5688,1509,226478,71539,3218,145770,44645,183495, 5118,1296,198927,51023,2607,100960,154623,66755,173534,49735,161412,57951,143299,68235,214208, 98763,58236,164074,63087,152354, 98763,214208,1,1,169416,68290,0.7127,0.7147,1,2,0,-0.1179
3976,1,726362, 2,578557,0.0017501895,0.9744,0.30142,70619,123371,14486, 838,302191,67355,2338,145164,47974,108132,12065, 727,260639,48429,1856, 98735,124621,66935,144866,48250,126931,59354,113211,68345,172558,102542,57589,134743,63843,120070,102542,172558,1,1,136437,69086,0.6639,0.6666,1,2,0,-0.1179
3976,2,728909, 2,577348,0.0017501895,0.9744,0.07002,68304,190994, 7391,1483,229367,81699,2945,146726,45133,167492, 5994,1273,197629,56789,2368,100670,142274,61911,161742,44397,149384,52678,131722,63382,193570, 94322,53143,152004,58022,140552, 94322,193570,1,1,155740,63338,0.7109,0.7136,1,2,0,-0.1179
3977,1,730917, 2,585992,0.0045098129,0.9756,0.25261,65836,146152,14247, 909,288198,73750,2532,139293,45377,126783,11700, 805,250361,52566,2019, 96381,126313,62101,144299,45624,126751,55221,112797,64016,172363, 92485,53860,135303,59612,119773, 92485,172363,1,0,136505,63890,0.6812,0.6831,1,2,0,-0.1179
3977,2,724354, 2,569913,0.0045098129,0.9756,0.06911,73087,168213, 7630,1412,243360,75304,2751,152597,47730,148841, 6359,1195,207907,52652,2205,103024,140583,66745,162310,47023,149565,56810,132136,67711,193765,104379,56872,151444,62252,140849,104379,193765,1,0,155672,68534,0.6943,0.6979,1,2,0,-0.1179
