draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
3258,1,544743, 2,0.6805,430064,0.0048523139,0.9886,0.3610,20986,456670,2711,27652,4328,457,2454,29485,14289,369511,2045,19175,3553,366,1871,19254,137431, 95040,114280,135169,166075,83569,137101,107375,117165,133621,169984,130574,164613,144331,162663,133375,172403,131632,175146,127468,138722,105287,117165,133621,168962,133476,1,0,122215,151686,0.4462,0.4464,0.2,0.3,0,0.2079
3258,2,539482, 2,0.6805,420059,0.0048523139,0.9886,0.3934,24213,444648,2366,36940,3749,382,1920,25264,15619,358042,1736,23542,3113,276,1455,16276,141806, 82666,121832,120762,166689,75398,140369, 97483,118797,120252,173615,114209,168556,128128,165880,117482,175915,115390,177789,112147,142673, 94079,118797,120252,172351,117471,1,0,108391,155124,0.4113,0.4117,0.1,0.3,0,0.2079
3259,1,539877, 2,0.5672,422834,0.0041236828,0.9799,0.3027,20434,444394,2668,35855,4203,433,2263,29627,13881,358192,1982,24110,3445,354,1703,19167,135268, 92728,112460,132692,163912,81200,134569,105671,114036,131443,165685,126926,160415,140464,158539,129723,167769,128240,170551,124084,136553,103073,114036,131443,164592,129887,1,0,119317,148320,0.4458,0.4460,0.2,0.3,0,0.2088
3259,2,544348, 2,0.5672,427289,0.0041236828,0.9799,0.2067,24765,456924,2409,28737,3874,406,2111,25122,16027,369361,1799,18607,3221,288,1623,16363,143970, 84977,123652,123238,168851,77768,142901, 99187,121925,122430,177914,117857,172754,131995,170005,121134,180550,118781,182384,115531,144843, 96294,121925,122430,176721,121060,1,0,111289,158490,0.4125,0.4129,0.1,0.3,0,0.2088
3260,1,544729, 2,0.8191,431374,0.0048264890,0.9875,0.2640,20837,463146,1844,24510,3849,398,2360,27785,14193,375174,1337,16939,3152,311,1843,18425,139751, 98436,117089,138898,167503,88498,139031,111400,119787,138567,174860,136164,169084,150641,166710,139948,177534,137291,180218,133154,140844,109308,119787,138567,173681,139440,1,0,127299,155157,0.4507,0.4509,0.2,0.2,0,0.2538
3260,2,539496, 2,0.8191,418749,0.0048264890,0.9875,0.5194,24362,438172,3233,40082,4228,441,2014,26964,15715,352379,2444,25778,3514,331,1483,17105,139487, 79270,119023,117032,165261,70469,138439, 93459,116174,115306,168739,108619,164085,121818,161833,110909,170784,109731,172717,106461,140552, 90059,116174,115306,167632,111508,1,0,103307,151654,0.4052,0.4055,0.0,0.2,0,0.2538
3261,1,540003, 2,0.5538,419459,0.0038912587,0.9807,0.2702,20247,428224,2638,53516,4040,417,2109,28812,13693,345129,1950,34891,3317,332,1581,18566,140119, 85252,118569,121639,163669,76810,137466, 98422,117002,121630,168437,115170,163108,128052,161177,117468,170443,115996,171546,113238,139956, 95531,117002,121630,166942,117985,1,0,109367,151153,0.4198,0.4201,0.2,0.4,0,0.1586
3261,2,544222, 2,0.5538,430664,0.0038912587,0.9807,0.1814,24952,473094,2439,11076,4037,422,2265,25937,16215,382424,1831, 7826,3349,310,1745,16964,139118, 92453,117543,134291,169095,82158,140004,106437,118959,132242,175162,129613,170061,144407,167366,133389,177876,131026,181389,126377,141440,103836,118959,132242,174371,132963,1,0,121239,155657,0.4378,0.4381,0.2,0.4,0,0.1586
3262,1,543294, 2,0.7293,427889,0.0021794369,0.9840,0.2069,19890,453048,1840,34014,3792,378,2317,28015,13492,366562,1348,22925,3110,296,1785,18371,138710, 97059,115937,137354,166325,86920,137010,111029,117794,137343,171890,132842,165870,147354,163626,136702,174398,134200,176779,130184,139497,108090,117794,137343,170513,136257,0,0,125098,152834,0.4501,0.4504,0.2,0.2,0,0.2550
3262,2,540931, 2,0.7293,422234,0.0021794369,0.9840,0.2324,25309,448270,3237,30578,4285,461,2057,26734,16416,360991,2433,19792,3556,346,1541,17159,140527, 80646,120175,118576,166439,72048,140460, 93830,118167,116529,171708,111941,167299,125105,164918,114156,173921,112822,176156,109431,141899, 91277,118167,116529,170800,114690,0,0,105508,153977,0.4066,0.4069,0.0,0.2,0,0.2550
